method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
aemcf,29,124.46666666666667,38.733333333333334,241.3219239670305,True,0.001720862559587524,0.19994175136811326,249.97001823664323,0.029981763356772717,1.9688643684827158,5.449591426827138
aemcf_nowind,29,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0017178250528437806,0.19991026499204637,250.02416200320312,-0.024162003203116456,1.9697732608239604,5.449591426827138
baseline_fixed,30,107.96666666666667,38.516666666666666,210.34525519295602,True,,0.19989492329829373,194.77630749489313,55.22369250510687,2.098054155923472,6.0912264462918335
baseline_offline,30,123.4,38.516666666666666,239.72646352628337,True,,0.21211386735460347,250.00366866826872,-0.0036686682687161465,2.1085822162367958,6.269564266609895
aemcf,30,125.16666666666667,38.916666666666664,241.2911739653138,True,0.0017402504785617534,0.19993895052430372,250.031143422433,-0.031143422432990064,2.0977881549052353,6.269564266609895
aemcf_nowind,30,124.25,38.68333333333333,241.33958857919876,True,0.0018006444676056047,0.19992431044664166,249.96298910527153,0.03701089472846775,2.10167857103264,6.269564266609895
baseline_fixed,31,107.96666666666667,38.93333333333333,210.33789631558588,True,,0.19992116554116446,194.76927711798598,55.23072288201402,2.108777857071658,6.062070495378891
baseline_offline,31,123.41666666666667,38.93333333333333,239.75083381557988,True,,0.21203885478295872,250.02762346770726,-0.027623467707257987,2.1157308181459165,6.062070495378891
aemcf,31,125.15,39.3,241.27750234963835,True,0.0018035818453857532,0.19996144457808035,250.00898232893513,-0.008982328935132955,2.1156730736229283,6.062070495378891
aemcf_nowind,31,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0018024437760189532,0.19990422140773378,250.01483534015873,-0.014835340158725785,2.1136386844503803,6.062070495378891
baseline_fixed,32,107.95,37.233333333333334,210.31728073391656,True,,0.19999468206738746,194.75163411762705,55.24836588237295,2.0307908685759735,7.057846317558445
baseline_offline,32,123.4,37.233333333333334,239.73021823391056,True,,0.21210231023800483,250.01081169982993,-0.010811699829929466,2.028144863314811,7.057846317558445
aemcf,32,124.51666666666667,37.46666666666667,241.32702888499475,True,0.0017515216191943243,0.19993800988230617,250.0108806780062,-0.010880678006202515,2.0219177381060205,7.057846317558445
aemcf_nowind,32,124.25,38.68333333333333,241.33958857919876,True,0.001739163109457111,0.19995847711706777,249.9713681973293,0.0286318026707022,2.0236651688997056,7.057846317558445
baseline_fixed,33,107.96666666666667,38.11666666666667,210.3427359704913,True,,0.1999039070120361,194.77270993704943,55.22729006295057,2.0542136850584867,6.736987759073257
baseline_offline,33,123.41666666666667,38.11666666666667,239.7556734704853,True,,0.21202395816207956,250.03099981715584,-0.030999817155844767,2.0346926135129135,6.736987759073257
aemcf,33,123.38333333333334,38.416666666666664,241.42172955734944,True,0.0017166562328789338,0.1999708338538797,250.01271602898902,-0.012716028989018469,2.034967775499678,6.736987759073257
aemcf_nowind,33,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0017924047341742863,0.19993404802999712,250.0219465148691,-0.02194651486908583,2.0323607987020824,6.736987759073257
baseline_fixed,34,107.95,39.46666666666667,210.3161355754932,True,,0.1999987657779827,194.74601362490216,55.25398637509784,1.9661346773094257,6.256556249190836
baseline_offline,34,123.41666666666667,39.46666666666667,239.76080224215386,True,,0.21200817163006525,250.03209719262523,-0.03209719262522981,1.9081061094081224,6.256556249190836
aemcf,34,125.2,40.05,241.2724238740373,True,0.0017824971726570589,0.19994726269602459,249.98977570281494,0.01022429718506146,1.900737103352251,6.256556249190836
aemcf_nowind,34,124.25,38.68333333333333,241.33958857919876,True,0.0018040314984571295,0.19992752130595812,249.96397878810492,0.03602121189507557,1.904850662645804,6.256556249190836
baseline_fixed,35,107.96666666666667,38.9,210.33377148212153,True,,0.1999358749698117,194.76376347564045,55.236236524359555,1.9247880596718014,5.266864321334064
baseline_offline,35,123.41666666666667,38.9,239.74670898211554,True,,0.2120515511593524,250.01893795457366,-0.018937954573658544,1.9295792901521558,5.513343416261559
aemcf,35,124.45,39.28333333333333,241.33202630569707,True,0.001803379802866245,0.19992099714454956,249.97907531061873,0.020924689381274675,1.9356200594387352,5.513343416261559
aemcf_nowind,35,124.25,38.68333333333333,241.33958857919876,True,0.0018144607301146978,0.19996890733174313,249.9822381151876,0.017761884812387052,1.9354700526735076,5.513343416261559
baseline_fixed,36,107.96666666666667,40.55,210.3424634025131,True,,0.19990487900745446,194.76968994450166,55.230310055498336,2.15861778185007,6.756639456515879
baseline_offline,36,123.41666666666667,40.55,239.7554009025071,True,,0.21202479713550296,250.02413968218917,-0.024139682189172618,2.1521821017837954,6.756639456515879
